Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
7751-UX,90,3,91,¡÷,50,188237,2489305,120.3997,22.5023,,2018/1/9 09:49,107205,518,50,830024
7751-UX,90,2,91,¡÷,50,188247,2489283,120.3998,22.5021,,2018/1/9 09:49,107205,24,50,830024
7751-UX,90,2,261,¡ö,70,188042,2489372,120.3978,22.5029,,2018/1/9 09:51,7977,42,70,830024
7751-UX,90,2,272,¡ö,70,188032,2489372,120.3977,22.5029,,2018/1/9 09:51,7977,10,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:52,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:53,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188041,2489173,120.3978,22.5011,,2018/1/9 09:53,7974,10,70,830024
7751-UX,90,0,176,¡õ,70,188041,2489173,120.3978,22.5011,,2018/1/9 09:54,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:54,7974,10,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:55,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:55,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:56,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:56,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:57,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:57,7974,0,70,830024
7751-UX,90,0,176,¡õ,70,188031,2489173,120.3977,22.5011,,2018/1/9 09:58,7974,0,70,830024
7751-UX,90,0,113,¡û,50,188649,2489348,120.4037,22.5027,,2018/1/9 10:01,107380,168,50,830024
7751-UX,90,0,113,¡û,50,188649,2489348,120.4037,22.5027,,2018/1/9 10:02,107380,0,50,830024
7751-UX,90,0,111,¡û,60,188536,2489448,120.4026,22.5036,,2018/1/9 10:04,604315,45,60,830024
7751-UX,90,0,147,¡û,60,188536,2489448,120.4026,22.5036,,2018/1/9 10:04,604315,0,60,830024
7751-UX,90,0,147,¡û,60,188536,2489448,120.4026,22.5036,,2018/1/9 10:05,604315,0,60,830024
7751-UX,90,0,147,¡û,60,188536,2489448,120.4026,22.5036,,2018/1/9 10:05,604315,0,60,830024
7751-UX,90,0,147,¡û,60,188536,2489448,120.4026,22.5036,,2018/1/9 10:06,604315,0,60,830024
7751-UX,90,3,305,¡ø,60,188526,2489448,120.4025,22.5036,,2018/1/9 10:06,604315,10,60,830024
7751-UX,90,0,115,¡û,50,188548,2489946,120.4027,22.5081,,2018/1/9 10:09,107380,93,50,830024
7751-UX,90,0,115,¡û,50,188548,2489935,120.4027,22.508,,2018/1/9 10:09,107380,11,50,830024
7751-UX,90,0,115,¡û,50,188538,2489924,120.4026,22.5079,,2018/1/9 10:10,107380,15,50,830024
7751-UX,90,2,46,¡ù,50,188630,2489901,120.4035,22.5077,,2018/1/9 10:10,107380,95,50,830024
7751-UX,90,0,193,¡ú,50,188466,2489946,120.4019,22.5081,,2018/1/9 10:11,107380,22,50,830024
