Column1,Column2,Column4
H4,6229000101574,下午 12:00:59
H4,82572900101474,下午 12:00:59
H4,47101383003174800000,下午 02:37:03
H4,47101383003174800000,上午 11:34:22
H4,55778424124874,下午 12:51:59
H4,82603000101474,上午 09:41:59
H4,46318400101474,上午 11:10:59
H4,15318100101374,上午 11:35:59
H4,15628000101274,上午 10:20:59
H4,40891500100674,上午 10:20:59
H4,3560200100450,下午 02:37:27
H4,83767800101574,上午 11:25:59
H4,55591524124874,上午 10:05:59
H4,668780158351,上午 10:12:59
H4,668280158351,下午 12:01:59
H4,55521024124874,下午 12:06:59
H4,37314700101474,上午 10:07:59
I4,44127400101474,上午 11:00:59
I4,9890900101274,上午 11:00:59
I4,82305300100874,上午 11:00:59
I4,58733210120650,下午 12:00:59
I4,54344010056158,下午 12:00:59
I4,91192010021554,下午 12:00:59
I4,69123000101274,下午 12:00:59
I4,15188800100274,下午 12:00:59
I4,91963300101274,下午 12:30:59
I4,21065800101274,下午 12:30:59
I4,77826700101174,下午 12:30:59
I4,83700500101374,下午 01:00:59
I4,81024500100574,下午 01:00:59
I4,36403300100774,上午 10:55:59
I4,47101383003174800000,下午 06:16:46
I4,668780158351,下午 04:29:40
I4,55521024124874,下午 05:15:54
I4,55133424124874,上午 09:10:59
I4,29283124124874,下午 12:12:59
I4,87390310656158,上午 09:00:59
I4,224810509958,上午 10:09:59
I4,56499410056158,上午 09:00:59
I4,39551010056158,上午 09:12:59
I4,4915210024258,上午 09:15:59
I4,4870910024258,上午 11:04:59
I4,4693410024258,上午 11:29:59
I4,4236210024258,下午 12:10:59
I4,758710024258,上午 11:27:59
I4,91027210021554,上午 10:50:23
I4,90917710021554,下午 12:13:59
I4,23064510003074,上午 08:57:59
I4,4822100101674,下午 12:31:56
I4,3604700101674,上午 09:02:59
I4,87407900101574,下午 01:26:22
I4,68259400101474,上午 09:44:59
I4,44125700101474,上午 10:22:59
I4,10515700101474,上午 09:51:59
I4,99300600101374,上午 11:22:59
I4,18271300101374,上午 10:39:25
I4,91363500101274,上午 11:34:31
I4,86295600101274,下午 01:36:05
I4,86294300101274,下午 01:02:55
I4,23009000101274,上午 11:24:17
I4,2040100101274,下午 12:17:59
I4,928500101274,上午 09:18:59
I4,60250600101174,上午 09:00:59
I4,85375100101074,上午 10:28:59
I4,36206800101074,上午 11:12:59
I4,80936900100974,上午 09:32:59
I4,52346700100974,上午 09:45:59
I4,47182200100974,下午 02:10:20
I4,36571100100974,上午 09:25:59
I4,54489100100874,上午 09:36:59
I4,46274300100874,上午 11:55:59
I4,89565800100650,下午 12:32:01
I4,89565700100650,下午 12:31:58
I4,66555700100674,上午 11:45:59
I4,9638800100674,上午 11:35:59
I4,1079700100674,上午 11:57:14
I4,14409100100574,下午 12:44:59
I4,4017000100274,上午 09:51:59
I4,9437430201116,下午 01:43:02
I4,9145030201116,下午 01:39:44
H4,98763930004710800000,下午 01:16:03
H4,93699326002710800000,下午 01:06:54
H4,15473324630116,下午 01:16:05
H4,10354970700516,下午 01:58:19
H4,11068870700217,下午 01:07:14
H4,1324370602816,下午 12:04:09
H4,8693324100130830000,下午 01:35:02
H4,8148810023918830000,下午 01:36:37
H4,90142970401410800000,下午 01:51:47
H4,37254510614818,下午 01:53:21
H4,93942970400720800000,下午 01:58:45
H4,7036222308618,下午 01:16:13
H4,45161710611218,下午 01:24:29
H4,5065410023918830000,下午 01:16:01
H4,90920630002210800000,下午 01:10:36
H4,27312824605618,下午 01:37:34
H4,27264724605618,下午 01:19:01
H4,95683224145020800000,下午 01:45:08
H4,41947424103630800000,下午 01:19:16
H4,17654624103630800000,下午 01:36:28
H4,17627224103630800000,下午 01:10:02
H4,17605624103630000000,下午 01:10:06
H4,17576024103630800000,下午 01:07:45
H4,1953170600618,下午 01:19:15
H4,56748610028318800000,下午 01:07:43
H4,97421470405910800000,下午 12:04:39
H4,8636524100130830000,上午 11:45:22
H4,97294570402810800000,下午 01:45:26
H4,7585210615318,下午 01:18:06
H4,7583610615318,下午 01:45:38
H4,9608110023918830000,下午 01:17:16
H4,8942510023918830000,下午 01:17:07
H4,5094410023918830000,下午 01:18:33
H4,5086210023918830000,下午 01:17:09
H4,9622110023918830000,下午 01:09:06
H4,8148910023918830000,下午 02:02:34
H4,5577610023918830000,下午 01:37:47
H4,9607910023918830000,下午 02:02:41
H4,60837910614832,下午 01:26:46
H4,23178022331032,下午 02:00:53
I4,98672330004320800000,下午 01:26:30
I4,93286430003810800000,下午 02:06:27
I4,98141830003610800000,下午 01:26:30
I4,96444430003410800000,下午 02:06:27
I4,91589830003321800000,下午 01:56:58
I4,98955130002910800000,下午 01:28:24
I4,91814330002710800000,下午 12:03:41
I4,93475630002270800000,上午 11:57:56
I4,3052526100816,下午 02:10:07
I4,14184026002516,下午 02:06:27
I4,10901324603816,下午 01:56:58
I4,59724603518,下午 01:43:51
I4,1524624600178,上午 10:13:52
I4,2955524330116,下午 02:10:07
I4,16638024304316,下午 02:10:07
I4,28481124300316,下午 01:56:58
I4,7877924201918,下午 01:25:36
I4,28572024201116,下午 01:49:40
I4,26625124200318,下午 01:49:40
I4,97341024145070800000,下午 01:26:30
I4,42690224126178,上午 11:07:27
I4,42645724126178,下午 01:56:58
I4,99565924105618,下午 01:26:30
I4,86010824105618,下午 02:06:27
I4,68051524105618,下午 01:25:36
I4,39059624105618,下午 02:10:07
I4,23004324105618,下午 01:28:24
I4,98904224105510800000,下午 12:57:36
I4,90919424104410800000,下午 12:57:36
I4,45390224103630800000,下午 01:49:40
I4,74570701218,下午 01:56:58
I4,22251870701116,下午 02:06:27
I4,42466524103630800000,下午 01:28:24
I4,42405224103630800000,下午 01:49:40
I4,42403524103630800000,下午 02:08:49
I4,42131024103630800000,下午 01:56:58
I4,7230570645126,下午 01:56:58
I4,2811770632710,下午 01:49:40
I4,2709670632716,下午 01:25:36
I4,33243424103630800000,下午 02:10:07
I4,33218124103630800000,下午 02:10:07
I4,17973724103630800000,上午 11:57:56
I4,1495570603818,下午 01:18:49
I4,1324070602816,下午 01:26:30
I4,418470602300,下午 02:01:08
I4,95302024102970800000,下午 02:10:07
I4,94926224102710800000,下午 12:55:18
I4,409270600600,下午 01:15:32
I4,94382324102170800000,下午 01:51:13
I4,90786170445170800000,下午 12:57:36
I4,90786070445170800000,下午 03:52:48
I4,90785870445170800000,下午 12:42:20
I4,98547624101510800000,下午 01:28:24
I4,38354610028318,上午 11:57:56
I4,98516024101510800000,下午 01:28:24
I4,38278210028318,下午 12:55:18
I4,47540110028218800000,下午 02:01:15
I4,47540010028218800000,下午 01:15:32
I4,27199010028218,下午 01:43:02
I4,20740410027578,下午 02:06:27
I4,20538510027578,下午 12:52:01
I4,20519210027578,下午 01:49:40
I4,20514710027578,上午 11:57:56
I4,91941424101370800000,下午 01:39:44
I4,96991524101010800000,下午 01:49:40
I4,4968410634116,下午 01:56:58
I4,98293070404720800000,下午 02:06:27
I4,98291770404720800000,下午 01:43:02
I4,95282770404710800000,下午 02:06:27
I4,93916770404370800000,下午 01:43:02
I4,9974210023918830000,下午 01:25:36
I4,9949610023918830000,下午 02:10:07
I4,9946610023918830000,下午 01:25:36
I4,91080970403970800000,下午 01:39:44
I4,93037470403810800000,下午 01:18:49
I4,3952410617218,下午 01:28:24
I4,3588210617218,下午 01:49:40
I4,95778970403670800000,下午 02:06:27
I4,9633910023918830000,下午 01:25:36
I4,90343370403610800000,下午 01:56:58
I4,9620410023918830000,下午 02:06:27
I4,9608610023918830000,下午 12:55:18
I4,9603710023918830000,下午 01:43:02
I4,62993610616718,下午 02:08:49
I4,8672424100130830000,下午 01:25:36
I4,8620524100131830000,下午 01:39:44
I4,8568824100130830000,下午 01:25:36
I4,40920210616718,下午 02:06:27
I4,9021110023918830000,下午 01:56:58
I4,90181970402910800000,下午 12:55:18
I4,8889710023918830000,下午 01:49:40
I4,94731370402720800000,下午 12:03:41
I4,28060710615318,下午 03:52:48
I4,91950270402410800000,下午 02:10:07
I4,20426510615318,下午 12:57:36
I4,8467210023918830000,下午 01:18:49
I4,8466010023918830000,下午 01:28:24
I4,8465610023918830000,下午 01:39:44
I4,8464810023918830000,下午 02:08:49
I4,8457310023918830000,下午 12:55:18
I4,7582910615318,下午 01:18:49
I4,8170410023918830000,下午 01:49:40
I4,8163410023918830000,下午 01:43:02
I4,8162510023918830000,上午 11:57:56
I4,8154010023918830000,下午 12:57:36
I4,8150310023918830000,下午 01:56:58
I4,90154770401610800000,下午 01:18:49
I4,90145770401610800000,下午 01:18:49
I4,61145710614832,下午 01:26:30
I4,90133770401410800000,下午 01:28:24
I4,61066210614818,下午 02:08:49
I4,94152670401210800000,下午 12:55:18
I4,90023970401111800000,下午 01:18:49
I4,97875870400910800000,下午 12:55:18
I4,29074410614816,下午 02:08:49
I4,28835810614828,下午 01:56:58
I4,28834110614828,下午 01:56:58
I4,7018410023918830000,下午 01:28:24
I4,963210614078,下午 01:56:58
I4,3749322333916,下午 01:43:37
I4,411710614016,下午 01:25:36
I4,547122333416,下午 01:25:36
I4,96565270400510800000,下午 02:06:27
I4,96561970400510800000,下午 01:56:58
I4,6672010023918830000,下午 02:10:07
I4,6667010023918830000,下午 02:08:49
I4,6654810023918830000,上午 11:57:56
I4,6652810023918830000,下午 01:49:40
I4,6640210023918830000,下午 02:10:07
I4,6632110023918830000,下午 01:49:40
I4,6623210023918830000,下午 02:06:27
I4,68538810612818,下午 01:43:02
I4,23309422331032,下午 01:49:40
I4,23279122331032,下午 01:18:49
I4,23279022331032,下午 01:18:49
I4,41748110612818,下午 01:18:49
I4,4737522309116,下午 01:56:58
I4,2744322308818,下午 01:43:31
I4,655764600416,下午 01:49:40
I4,3326410612018,下午 02:08:49
I4,3326310612018,下午 02:08:49
I4,51218110611818,下午 02:06:27
I4,11917064600016,下午 01:49:40
I4,5591110023918830000,下午 02:06:27
I4,5590210023918830000,下午 01:25:36
I4,5585410023918830000,下午 02:06:27
I4,5133010023918830000,下午 12:55:18
I4,5131310023918830000,下午 01:49:40
I4,5127710023918830000,下午 02:08:49
I4,5126710023918830000,下午 01:25:36
I4,5123410023918830000,下午 01:25:36
I4,5094110023918830000,下午 01:25:36
I4,5089610023918830000,下午 01:25:36
I4,5084110023918830000,下午 01:25:36
I4,5076410023918830000,上午 11:57:56
I4,5072110023918830000,下午 12:55:18
I4,5071710023918830000,下午 12:55:18
I4,5069910023918830000,下午 01:56:58
I4,5063310023918830000,下午 01:28:24
I4,5060010023918830000,下午 01:28:24
I4,5058410023918830000,下午 01:56:58
I4,28419922307318,下午 12:57:36
I4,15187810611216,下午 01:43:51
I4,13775510611216,下午 02:10:07
H4,4499310023918830000,下午 12:03:56
H4,3070210611278,下午 01:24:21
H4,4069610023918830000,下午 12:04:02
H4,4019510023918830000,下午 12:03:57
H4,29412110609618,下午 01:58:37
H4,91886295002610800000,下午 01:08:01
H4,30615422300018,下午 01:53:43
H4,2071310023918830000,下午 01:16:03
H4,2369990206516,下午 01:58:33
H4,12242760300132,下午 01:07:09
H4,12242660300132,下午 01:07:07
H4,1703710023918830000,下午 01:58:10
H4,1453310023918830000,上午 11:44:31
H4,477290201616,下午 01:24:42
H4,271022206478,下午 02:37:10
H4,271022206478,下午 12:59:25
H4,13934390201532,下午 12:40:45
H4,29631210606718,下午 12:04:04
H4,13836390201532,下午 01:44:48
H4,84822202416,下午 01:48:04
H4,97729210605518,下午 01:51:27
H4,14796290200417,下午 01:35:29
H4,474610023918832000,下午 01:44:16
H4,8214190106317,下午 01:24:59
H4,8211990106317,下午 01:53:20
H4,17352510605318,下午 12:40:41
H4,55006710023130800000,上午 11:44:08
H4,25196722028236800000,下午 01:35:15
H4,94274790006610800000,下午 01:53:38
H4,94274290006610800000,下午 01:53:28
H4,94768290006310800000,下午 12:39:41
H4,98812990003010800000,下午 01:53:19
H4,103710022218,上午 11:44:28
H4,280590001917,下午 01:51:32
H4,83001140029136800000,下午 01:06:56
H4,94537490000010800000,上午 11:44:44
H4,15110754200716,下午 01:53:24
H4,34381710610818,下午 01:10:28
H4,38760710609616,下午 12:41:10
H4,4225060301516,下午 01:54:10
H4,2171090206516,上午 11:45:22
H4,18012910608018,下午 01:36:47
H4,681990200918,下午 01:55:19
H4,97552710605518,下午 01:54:16
H4,97542710605518,下午 01:37:37
H4,3039590200016,下午 01:10:09
H4,3038890200016,下午 12:40:59
H4,40537710023130800000,下午 01:52:43
H4,40458110023130800000,上午 11:45:23
H4,40408510023130800000,下午 02:00:01
H4,40300510023130800000,下午 01:54:17
H4,75610022218,下午 01:07:47
H4,94556060000010800000,下午 01:36:30
H4,77002840029136800000,下午 01:55:17
H4,52402640029136800000,下午 01:17:09
H4,96117290000910800000,下午 01:45:24
H4,94101010603318,下午 01:45:22
H4,2065110023918830000,下午 01:55:48
H4,190010023918832000,下午 01:17:06
H4,532510023918832000,下午 01:46:52
H4,50076210023130800000,下午 01:09:04
H4,4068010023918830000,下午 02:02:45
H4,4505010023918830000,上午 11:45:03
H4,4499410023918830000,下午 12:42:13
H4,8712697200016,下午 01:37:19
H4,4431310023918830000,下午 01:37:18
H4,4016410023918830000,上午 11:45:04
H4,13977190201532,下午 01:18:42
H4,523064002717,下午 01:08:08
H4,51442697000717,下午 02:00:19
H4,11746090201917,下午 01:38:14
H4,11704990201917,下午 01:18:38
H4,11687990201917,下午 01:53:21
H4,13750190201532,下午 01:46:24
H4,13750090201532,下午 01:46:27
H4,3140810605817,下午 01:17:59
H4,3132910605817,下午 02:00:26
H4,3132710605817,下午 01:10:56
H4,3127510605817,上午 11:46:12
H4,14689990200417,下午 01:46:00
H4,14639890200417,下午 02:00:31
H4,24107822028217800000,下午 01:55:32
I4,4509610023918830000,下午 01:43:02
I4,4506510023918830000,下午 01:18:49
I4,4506110023918830000,下午 12:57:36
I4,4500010023918830000,下午 01:25:36
I4,4490910023918830000,下午 01:28:24
I4,5486964401716,下午 12:57:36
I4,2854264401716,下午 03:52:48
I4,1733822307118,下午 02:08:49
I4,1733722307118,下午 02:08:49
I4,1733622307118,下午 02:08:49
I4,4436510023918830000,下午 01:18:49
I4,4434710023918830000,下午 01:18:49
I4,93298564003610800000,下午 01:43:12
I4,20025264003578,上午 10:09:48
I4,20025164003578,上午 10:09:51
I4,92308964003010800000,下午 01:43:02
I4,95807564002910800000,下午 01:28:24
I4,4066510023918830000,下午 02:08:49
I4,98159764002620800000,下午 12:57:36
I4,98238464002510800000,下午 01:43:02
I4,18596910610632,下午 01:56:58
I4,9361322304178,下午 12:55:18
I4,341710610518,上午 11:57:56
I4,2138864001578,上午 11:52:26
I4,13703310610118,下午 02:10:07
I4,3376110023918830000,下午 01:25:36
I4,3289410023918830000,下午 02:08:49
I4,3286610023918830000,下午 01:39:44
I4,3284510023918830000,下午 01:39:44
I4,94971940045110800000,下午 01:25:36
I4,92663664000110800000,下午 01:26:30
I4,2328322302916,下午 01:39:44
I4,52491522302732,下午 12:57:36
I4,52404922302732,下午 01:26:30
I4,20727140037210,下午 01:28:24
I4,2936110023918830000,下午 01:25:36
I4,2876610023918830000,下午 12:03:41
I4,2875410023918830000,下午 01:28:24
I4,2863410023918830000,下午 02:08:49
I4,2856210023918830000,下午 12:57:36
I4,2670210023918830000,下午 02:08:49
I4,2657710023918830000,下午 02:08:49
I4,2653310023918830000,下午 02:08:49
I4,2650410023918830000,下午 01:43:02
I4,2649010023918830000,下午 01:25:36
I4,72818095100017,下午 02:08:49
I4,347322301818,下午 01:25:36
I4,72807895100017,下午 01:49:40
I4,72807695100017,下午 01:49:40
I4,18373595100018,下午 01:18:49
I4,8528110609178,下午 01:25:36
I4,30616422300018,下午 01:26:30
I4,30519022300018,下午 12:03:41
I4,2080310023918830000,下午 01:56:58
I4,2070710023918830000,下午 01:18:49
I4,16856810608418,下午 01:43:02
I4,34167140031910,下午 02:10:07
I4,898422233910,下午 01:56:58
I4,2371990206516,下午 01:26:30
I4,2370990206516,下午 01:25:36
I4,2369890206516,上午 11:57:56
I4,2368290206516,下午 02:06:27
I4,385590206316,下午 01:18:49
I4,18860140031310,下午 12:57:36
I4,25202910608118,下午 01:28:24
I4,12316760300132,下午 12:55:18
I4,25197810608118,下午 01:26:30
I4,12296460300132,下午 02:06:27
I4,689790205017,下午 01:26:30
I4,1721810023918830000,上午 11:57:56
I4,1714810023918830000,上午 11:57:56
I4,1714710023918830000,下午 01:25:36
I4,1713410023918830000,下午 01:25:36
I4,1713310023918830000,下午 02:08:49
I4,11609210608118,下午 01:49:40
I4,1707110023918830000,下午 12:57:36
I4,1703910023918830000,下午 02:06:27
I4,1702710023918830000,下午 01:28:24
I4,1914022208316,下午 01:26:30
I4,157490204318,下午 01:56:58
I4,839190203516,下午 01:49:40
I4,32473540030210,下午 01:25:36
I4,1605810023918830000,下午 01:43:02
I4,1023190203016,下午 01:56:58
I4,1234990202616,下午 01:39:51
I4,2053440029918830000,下午 01:56:58
I4,1628190202416,下午 01:56:58
I4,1464910023918830000,下午 01:28:24
I4,1458210023918830000,下午 01:49:40
I4,1451610023918830000,下午 02:06:27
I4,1449910023918830000,下午 01:25:36
I4,1415010023918830000,下午 02:06:27
I4,11749490201917,下午 12:55:18
I4,1516160205118,下午 12:57:36
I4,34442510606716,下午 02:06:27
I4,13987990201532,下午 02:06:27
I4,39322205228,下午 12:57:36
I4,13901190201532,下午 01:26:30
I4,60868340029536800000,下午 01:43:02
I4,26851010606716,下午 01:25:36
I4,21576710606718,下午 02:08:49
I4,39010622204116,下午 01:56:58
I4,5333160200018,下午 01:26:30
I4,2335790201518,下午 03:52:48
I4,14892760101018,下午 01:26:30
I4,14892660101018,下午 01:43:31
I4,14960590200417,上午 11:57:56
I4,97712110605518,下午 02:06:27
I4,97687610605518,下午 01:28:24
I4,14796090200417,上午 11:57:56
I4,14750490200417,下午 02:08:49
I4,14747590200417,下午 03:52:48
I4,97573910605518,下午 01:39:44
I4,14631990200417,下午 02:08:49
I4,571210023918832000,下午 02:10:07
I4,474110023918832000,下午 01:56:58
I4,472010023918832000,下午 01:43:02
I4,1986190200216,下午 12:55:18
I4,94465960004810800000,下午 01:26:30
I4,56001340029336800000,下午 01:26:30
I4,3039390200016,下午 02:08:49
I4,8208790106317,下午 02:08:49
I4,96939460004410800000,下午 01:25:36
I4,95986460003510800000,下午 12:55:18
I4,293160003478,上午 10:23:05
I4,25329222028236800000,下午 01:25:36
I4,21549490101817,下午 02:06:27
I4,98363760003110800000,下午 01:28:24
I4,843690100600,下午 03:52:48
I4,25134922028236800000,下午 01:25:36
I4,50275510023130800000,下午 02:06:27
I4,95678760002310800000,下午 01:28:24
I4,91676860002110800000,下午 01:49:40
I4,97776990006210800000,下午 01:26:30
I4,97771990006210800000,下午 01:25:36
I4,50103410023130800000,下午 12:55:18
I4,50101110023130800000,下午 01:43:02
I4,93780260001710800000,下午 01:43:02
I4,50091010023130800000,下午 01:39:44
I4,50063810023130800000,下午 01:39:44
I4,50019710023130800000,下午 01:43:02
I4,98833990005110800000,下午 02:06:27
I4,98829290005110800000,下午 02:10:07
I4,50003210023130800000,下午 01:26:30
I4,90281890003810800000,下午 01:25:36
I4,91371290003310800000,下午 12:55:18
I4,98804890003010800000,下午 01:49:40
I4,103810022218,下午 02:10:07
I4,2683410604678,下午 01:49:40
I4,91417190002670800000,下午 01:43:51
I4,97715390002210800000,下午 01:25:36
I4,98865610019110800000,下午 01:56:58
I4,94929690002010800000,下午 01:43:02
I4,90039390001910800000,下午 01:43:02
I4,50750610604318,下午 01:28:24
I4,93783310018410800000,下午 01:43:02
I4,18882910604318,下午 02:06:27
I4,33254301018,下午 01:25:36
I4,82000240029136800000,下午 01:43:02
I4,93395090001710800000,下午 02:06:27
I4,53102240029117800000,下午 02:10:07
I4,2306810603428,下午 01:56:58
I4,90824290000810800000,下午 01:49:40
I4,94249890000720800000,下午 12:55:18
I4,95308090000520800000,下午 02:06:27
