Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
7751-UX,98,0,0,↑,70,187940,2489672,120.3968,22.5056,,2018/1/3 上午 08:47:58,7977,0,70,830024
7751-UX,78,0,0,↑,70,187940,2489672,120.3968,22.5056,,2018/1/3 上午 08:47:59,7977,0,70,830024
7751-UX,0,28,147,↘,50,188136,2489671,120.3987,22.5056,,2018/1/3 上午 08:51:31,107192,196,50,830024
7751-UX,0,30,95,→,60,188320,2489482,120.4005,22.5039,,2018/1/3 上午 08:52:01,604341,264,60,830024
7751-UX,0,7,310,↖,60,188505,2489370,120.4023,22.5029,,2018/1/3 上午 08:52:31,604341,216,60,830024
7751-UX,0,22,20,↗,60,188526,2489492,120.4025,22.504,,2018/1/3 上午 08:53:01,604315,124,60,830024
7751-UX,0,50,87,→,50,188763,2489502,120.4048,22.5041,,2018/1/3 上午 08:53:31,107380,237,50,830024
7751-UX,71,57,169,↘,50,188926,2489324,120.4064,22.5025,,2018/1/3 上午 08:54:01,318190,241,50,830024
7751-UX,90,1,189,↓,70,188925,2488970,120.4064,22.4993,,2018/1/3 上午 08:54:31,7971,354,70,830024
7751-UX,91,0,27,↗,70,188956,2488970,120.4067,22.4993,,2018/1/3 上午 08:54:58,7971,31,70,830024
7751-UX,0,17,16,↗,70,188966,2488981,120.4068,22.4994,,2018/1/3 上午 08:55:01,7971,15,70,830024
7751-UX,90,3,28,↗,70,188966,2489014,120.4068,22.4997,,2018/1/3 上午 08:55:31,7971,33,70,830024
7751-UX,78,0,249,↙,70,188935,2488970,120.4065,22.4993,,2018/1/3 上午 08:55:55,7971,54,70,830024
7751-UX,0,5,215,↙,70,188935,2488959,120.4065,22.4992,,2018/1/3 上午 08:56:01,7971,11,70,830024
7751-UX,0,30,121,↘,70,188966,2488926,120.4068,22.4989,,2018/1/3 上午 08:56:31,7971,45,70,830024
7751-UX,0,45,100,→,70,189346,2488836,120.4105,22.4981,,2018/1/3 上午 08:57:01,7971,391,70,830024
7751-UX,0,43,87,→,70,189778,2488778,120.4147,22.4976,,2018/1/3 上午 08:57:31,7971,436,70,830024
7751-UX,91,0,259,↙,70,189809,2488723,120.415,22.4971,,2018/1/3 上午 08:57:53,7971,63,70,830024
7751-UX,90,0,259,↙,70,189809,2488723,120.415,22.4971,,2018/1/3 上午 08:58:01,7971,0,70,830024
7751-UX,90,0,259,↙,70,189809,2488723,120.415,22.4971,,2018/1/3 上午 08:58:31,7971,0,70,830024
7751-UX,78,0,259,↙,70,189809,2488723,120.415,22.4971,,2018/1/3 上午 08:58:58,7971,0,70,830024
7751-UX,0,33,345,↖,70,189809,2488800,120.415,22.4978,,2018/1/3 上午 08:59:27,7971,77,70,830024
7751-UX,0,45,348,↖,70,189749,2489133,120.4144,22.5008,,2018/1/3 上午 08:59:58,7976,338,70,830024
7751-UX,0,47,348,↖,70,189668,2489521,120.4136,22.5043,,2018/1/3 上午 09:00:28,7976,396,70,830024
7751-UX,0,24,352,↑,70,189608,2489831,120.413,22.5071,,2018/1/3 上午 09:00:58,7976,316,70,830024
7751-UX,0,19,247,↙,50,189505,2489887,120.412,22.5076,,2018/1/3 上午 09:01:28,107380,117,50,830024
7751-UX,90,0,191,↓,50,189495,2489876,120.4119,22.5075,,2018/1/3 上午 09:01:58,107380,15,50,830024
7751-UX,91,0,111,↘,50,189515,2489854,120.4121,22.5073,,2018/1/3 上午 09:02:14,107380,30,50,830024
7751-UX,90,2,111,↘,50,189515,2489843,120.4121,22.5072,,2018/1/3 上午 09:02:28,107380,11,50,830024
7751-UX,90,0,160,↘,70,189525,2489842,120.4122,22.5072,,2018/1/3 上午 09:02:58,7976,10,70,830024
7751-UX,78,0,160,↘,50,189515,2489854,120.4121,22.5073,,2018/1/3 上午 09:03:46,107380,16,50,830024
7751-UX,0,30,265,←,50,189464,2489887,120.4116,22.5076,,2018/1/3 上午 09:04:15,107380,61,50,830024
7751-UX,71,66,262,←,50,189042,2489833,120.4075,22.5071,,2018/1/3 上午 09:04:45,107380,425,50,830024
7751-UX,0,21,356,↑,50,188805,2489923,120.4052,22.5079,,2018/1/3 上午 09:05:15,318190,254,50,830024
7751-UX,90,0,349,↖,50,188805,2489934,120.4052,22.508,,2018/1/3 上午 09:05:45,318190,11,50,830024
7751-UX,90,0,349,↖,50,188805,2489934,120.4052,22.508,,2018/1/3 上午 09:06:15,318190,0,50,830024
7751-UX,90,0,349,↖,50,188805,2489934,120.4052,22.508,,2018/1/3 上午 09:06:45,318190,0,50,830024
7751-UX,0,41,347,↖,60,188765,2490133,120.4048,22.5098,,2018/1/3 上午 09:07:15,604315,203,60,830024
7751-UX,91,0,167,↘,60,188786,2490189,120.405,22.5103,,2018/1/3 上午 09:07:42,604313,60,60,830024
7751-UX,90,1,167,↘,60,188786,2490189,120.405,22.5103,,2018/1/3 上午 09:07:45,604313,0,60,830024
7751-UX,90,0,167,↘,60,188786,2490178,120.405,22.5102,,2018/1/3 上午 09:08:15,604313,11,60,830024
7751-UX,78,0,216,↙,60,188786,2490178,120.405,22.5102,,2018/1/3 上午 09:08:52,604313,0,60,830024
7751-UX,0,41,184,↓,60,188744,2490078,120.4046,22.5093,,2018/1/3 上午 09:09:21,604315,108,60,830024
7751-UX,0,42,268,←,50,188549,2490057,120.4027,22.5091,,2018/1/3 上午 09:09:51,363251,196,50,830024
7751-UX,0,16,112,↘,50,188497,2489924,120.4022,22.5079,,2018/1/3 上午 09:10:21,107380,143,50,830024
7751-UX,91,0,116,↘,50,188548,2489902,120.4027,22.5077,,2018/1/3 上午 09:10:33,107380,56,50,830024
7751-UX,90,0,116,↘,50,188548,2489902,120.4027,22.5077,,2018/1/3 上午 09:10:51,107380,0,50,830024
7751-UX,90,0,116,↘,50,188548,2489902,120.4027,22.5077,,2018/1/3 上午 09:11:21,107380,0,50,830024
7751-UX,78,0,116,↘,50,188548,2489902,120.4027,22.5077,,2018/1/3 上午 09:11:51,107380,0,50,830024
7751-UX,0,4,8,↑,50,188517,2489924,120.4024,22.5079,,2018/1/3 上午 09:12:20,107380,38,50,830024
7751-UX,0,13,24,↗,50,188508,2490046,120.4023,22.509,,2018/1/3 上午 09:12:50,363251,122,50,830024
7751-UX,0,14,106,↘,60,188723,2490012,120.4044,22.5087,,2018/1/3 上午 09:13:20,604315,218,60,830024
7751-UX,0,29,4,↑,60,188755,2490156,120.4047,22.51,,2018/1/3 上午 09:13:50,604315,148,60,830024
