Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16
7751-UX,90,1,189,↓,70,188925,2488970,120.4064,22.4993,,2018/1/3 上午 08:54:31,7971,354,70,830024
7751-UX,90,3,28,↗,70,188966,2489014,120.4068,22.4997,,2018/1/3 上午 08:55:31,7971,33,70,830024
7751-UX,90,0,259,↙,70,189809,2488723,120.415,22.4971,,2018/1/3 上午 08:58:01,7971,0,70,830024
7751-UX,90,0,259,↙,70,189809,2488723,120.415,22.4971,,2018/1/3 上午 08:58:31,7971,0,70,830024
7751-UX,90,0,191,↓,50,189495,2489876,120.4119,22.5075,,2018/1/3 上午 09:01:58,107380,15,50,830024
7751-UX,90,2,111,↘,50,189515,2489843,120.4121,22.5072,,2018/1/3 上午 09:02:28,107380,11,50,830024
7751-UX,90,0,160,↘,70,189525,2489842,120.4122,22.5072,,2018/1/3 上午 09:02:58,7976,10,70,830024
7751-UX,90,0,349,↖,50,188805,2489934,120.4052,22.508,,2018/1/3 上午 09:05:45,318190,11,50,830024
7751-UX,90,0,349,↖,50,188805,2489934,120.4052,22.508,,2018/1/3 上午 09:06:15,318190,0,50,830024
7751-UX,90,0,349,↖,50,188805,2489934,120.4052,22.508,,2018/1/3 上午 09:06:45,318190,0,50,830024
7751-UX,90,1,167,↘,60,188786,2490189,120.405,22.5103,,2018/1/3 上午 09:07:45,604313,0,60,830024
7751-UX,90,0,167,↘,60,188786,2490178,120.405,22.5102,,2018/1/3 上午 09:08:15,604313,11,60,830024
7751-UX,90,0,116,↘,50,188548,2489902,120.4027,22.5077,,2018/1/3 上午 09:10:51,107380,0,50,830024
7751-UX,90,0,116,↘,50,188548,2489902,120.4027,22.5077,,2018/1/3 上午 09:11:21,107380,0,50,830024
7751-UX,90,2,15,↗,60,188808,2490476,120.4052,22.5129,,2018/1/3 上午 09:14:20,604313,324,60,830024
7751-UX,90,0,24,↗,60,188884,2491683,120.4059,22.5238,,2018/1/3 上午 09:17:50,604317,0,60,830024
7751-UX,90,1,24,↗,60,188874,2491683,120.4058,22.5238,,2018/1/3 上午 09:18:20,604317,10,60,830024
7751-UX,90,3,75,↗,70,188268,2491918,120.3999,22.5259,,2018/1/3 上午 09:21:21,7977,11,70,830024
7751-UX,90,1,75,↗,70,188268,2491918,120.3999,22.5259,,2018/1/3 上午 09:21:51,7977,0,70,830024
7751-UX,90,0,25,↗,50,188268,2491940,120.3999,22.5261,,2018/1/3 上午 09:23:21,107173,11,50,830024
7751-UX,90,2,25,↗,50,188268,2491940,120.3999,22.5261,,2018/1/3 上午 09:23:51,107173,0,50,830024
7751-UX,90,0,233,↙,60,188416,2492947,120.4013,22.5352,,2018/1/3 上午 09:26:51,604307,36,60,830024
7751-UX,90,0,233,↙,60,188416,2492947,120.4013,22.5352,,2018/1/3 上午 09:27:21,604307,0,60,830024
7751-UX,90,2,233,↙,60,188416,2492947,120.4013,22.5352,,2018/1/3 上午 09:27:51,604307,0,60,830024
7751-UX,90,0,97,→,50,188313,2492848,120.4003,22.5343,,2018/1/3 上午 09:29:21,107378,11,50,830024
7751-UX,90,3,295,↖,50,187981,2492130,120.3971,22.5278,,2018/1/3 上午 09:31:51,107121,105,50,830024
7751-UX,90,0,15,↗,50,187837,2492208,120.3957,22.5285,,2018/1/3 上午 09:32:52,107121,0,50,830024
7751-UX,90,1,15,↗,50,187837,2492197,120.3957,22.5284,,2018/1/3 上午 09:33:22,107121,11,50,830024
7751-UX,90,0,270,←,50,187897,2491809,120.3963,22.5249,,2018/1/3 上午 09:35:48,107121,0,50,830024
7751-UX,90,0,270,←,50,187897,2491809,120.3963,22.5249,,2018/1/3 上午 09:36:18,107121,0,50,830024
7751-UX,90,3,234,↙,50,187835,2491754,120.3957,22.5244,,2018/1/3 上午 09:39:21,107121,85,50,830024
7751-UX,90,1,275,←,50,187815,2491754,120.3955,22.5244,,2018/1/3 上午 09:39:51,107121,20,50,830024
7751-UX,90,0,275,←,50,187815,2491743,120.3955,22.5243,,2018/1/3 上午 09:40:21,107121,11,50,830024
7751-UX,90,0,177,↓,70,187968,2491543,120.397,22.5225,,2018/1/3 上午 09:43:03,7977,55,70,830024
7751-UX,90,0,177,↓,70,187968,2491543,120.397,22.5225,,2018/1/3 上午 09:43:33,7977,,70,830024
7751-UX,90,0,187,↓,70,187759,2490558,120.395,22.5136,,2018/1/3 上午 09:45:03,7977,233,70,830024
7751-UX,90,1,187,↓,70,187759,2490558,120.395,22.5136,,2018/1/3 上午 09:45:34,7977,0,70,830024
7751-UX,90,1,187,↓,70,187759,2490558,120.395,22.5136,,2018/1/3 上午 09:46:04,7977,0,70,830024
7751-UX,90,2,351,↑,60,187748,2490470,120.3949,22.5128,,2018/1/3 上午 09:48:04,607863,56,60,830024
7751-UX,90,2,137,↘,60,187748,2490470,120.3949,22.5128,,2018/1/3 上午 09:48:34,607863,0,60,830024
7751-UX,90,1,342,↖,60,187748,2490481,120.3949,22.5129,,2018/1/3 上午 09:49:04,607863,11,60,830024
7751-UX,90,0,263,←,60,187583,2490504,120.3933,22.5131,,2018/1/3 上午 09:49:34,607863,167,60,830024
7751-UX,90,1,94,→,60,187604,2490492,120.3935,22.513,,2018/1/3 上午 09:50:04,607863,24,60,830024
7751-UX,90,0,94,→,60,187594,2490492,120.3934,22.513,,2018/1/3 上午 09:50:34,607863,10,60,830024
7751-UX,90,0,94,→,60,187604,2490492,120.3935,22.513,,2018/1/3 上午 09:51:04,607863,10,60,830024
7751-UX,90,1,60,↗,60,187594,2490492,120.3934,22.513,,2018/1/3 上午 09:51:34,607863,10,60,830024
7751-UX,90,1,178,↓,50,187727,2490282,120.3947,22.5111,,2018/1/3 上午 09:53:04,318215,132,50,830024
7751-UX,90,0,178,↓,50,187715,2490049,120.3946,22.509,,2018/1/3 上午 09:54:04,318215,89,50,830024
7751-UX,90,0,178,↓,50,187715,2490049,120.3946,22.509,,2018/1/3 上午 09:54:34,318215,0,50,830024
7751-UX,90,0,178,↓,50,187705,2490049,120.3945,22.509,,2018/1/3 上午 09:55:04,318215,10,50,830024
7751-UX,90,0,160,↘,50,187715,2489994,120.3946,22.5085,,2018/1/3 上午 09:55:34,318215,56,50,830024
7751-UX,90,0,160,↘,50,187715,2489994,120.3946,22.5085,,2018/1/3 上午 09:56:04,318215,0,50,830024
7751-UX,90,0,160,↘,50,187715,2489994,120.3946,22.5085,,2018/1/3 上午 09:56:35,318215,0,50,830024
7751-UX,90,0,179,↓,50,187756,2489850,120.395,22.5072,,2018/1/3 上午 09:57:35,318215,49,50,830024
7751-UX,90,0,179,↓,50,187756,2489850,120.395,22.5072,,2018/1/3 上午 09:58:05,318215,0,50,830024
7751-UX,90,1,19,↗,50,187314,2489929,120.3907,22.5079,,2018/1/3 上午 10:00:05,318155,111,50,830024
7751-UX,90,2,15,↗,50,187304,2489984,120.3906,22.5084,,2018/1/3 上午 10:00:35,107179,56,50,830024
7751-UX,90,3,264,←,50,187273,2489962,120.3903,22.5082,,2018/1/3 上午 10:01:05,107179,38,50,830024
7751-UX,90,1,35,↗,50,187273,2489995,120.3903,22.5085,,2018/1/3 上午 10:02:05,107179,11,50,830024
7751-UX,90,0,25,↗,60,187449,2490382,120.392,22.512,,2018/1/3 上午 10:05:52,607863,11,60,830024
7751-UX,90,1,85,→,60,187449,2490393,120.392,22.5121,,2018/1/3 上午 10:06:22,607863,11,60,830024
7751-UX,90,0,146,↘,50,187408,2490427,120.3916,22.5124,,2018/1/3 上午 10:07:22,107179,0,50,830024
7751-UX,90,0,144,↘,50,187408,2490427,120.3916,22.5124,,2018/1/3 上午 10:07:52,107179,,50,830024
7751-UX,90,2,283,↖,50,187356,2490349,120.3911,22.5117,,2018/1/3 上午 10:09:01,107179,,50,830024
7751-UX,90,0,321,↖,50,187346,2490349,120.391,22.5117,,2018/1/3 上午 10:09:31,107179,106,50,830024
7751-UX,90,0,321,↖,50,187346,2490349,120.391,22.5117,,2018/1/3 上午 10:10:01,107179,0,50,830024
7751-UX,90,2,41,↗,50,187357,2490372,120.3911,22.5119,,2018/1/3 上午 10:11:31,107179,0,50,830024
